Episode,AcceptanceRatio,Revenue,Cost,R2C,CPUUtilization,BWUtilization
0,100.0,727,596.14,1.2195121951219512,0.7106730769230769,0.717150742541727
1,100.0,263,215.66,1.2195121951219512,0.713798076923077,0.7177106058614798
2,100.0,594,487.08,1.2195121951219512,0.7190384615384615,0.7191260349586016
3,100.0,347,284.53999999999996,1.2195121951219514,0.7232692307692308,0.719965829938231
4,100.0,602,493.64,1.2195121951219512,0.7273557692307693,0.7215179392824287
5,100.0,258,211.55999999999997,1.2195121951219514,0.7303365384615385,0.7219726639505848
8,77.77777777777779,908,744.56,1.2195121951219514,0.7375480769230769,0.7243041135497438
10,72.72727272727273,631,517.42,1.2195121951219514,0.7382692307692308,0.7238861874096465
13,64.28571428571429,254,208.28,1.2195121951219512,0.7292788461538462,0.7216651333946642
14,66.66666666666666,774,634.68,1.2195121951219514,0.7315384615384616,0.7218386121697989
15,68.75,200,164.0,1.2195121951219512,0.7321153846153846,0.7217834143777107
16,70.58823529411765,1038,851.16,1.2195121951219512,0.7405288461538462,0.7249612301222237
17,72.22222222222221,214,175.48,1.2195121951219512,0.7429326923076923,0.7253357865685373
18,73.68421052631578,175,143.5,1.2195121951219512,0.7384134615384615,0.7233670653173873
19,75.0,286,234.51999999999998,1.2195121951219514,0.7432692307692308,0.7238914443422263
22,69.56521739130434,167,136.94,1.2195121951219512,0.739423076923077,0.7228650282560126
26,62.96296296296296,863,707.66,1.2195121951219512,0.7245673076923077,0.7189315284531476
27,64.28571428571429,149,122.17999999999999,1.2195121951219512,0.7252884615384615,0.71885267446445
28,65.51724137931035,894,733.0799999999999,1.2195121951219514,0.730625,0.720261532395847
29,66.66666666666666,296,242.72,1.2195121951219512,0.7291826923076923,0.7202786174267315
33,61.76470588235294,579,474.78,1.2195121951219512,0.7325961538461538,0.721081613878302
36,59.45945945945946,1040,852.8,1.2195121951219512,0.7338942307692308,0.721901695360757
42,53.48837209302325,874,716.68,1.2195121951219514,0.7250961538461539,0.7216467341306347
44,53.333333333333336,622,510.03999999999996,1.2195121951219514,0.724423076923077,0.7218386121697989
46,53.191489361702125,584,478.88,1.2195121951219512,0.7203846153846154,0.7202352477329478
47,54.166666666666664,995,815.9,1.2195121951219512,0.7273557692307693,0.7227743461690104
51,51.92307692307693,207,169.73999999999998,1.2195121951219514,0.7301923076923077,0.7232251281377317
52,52.83018867924528,880,721.5999999999999,1.2195121951219514,0.7325961538461538,0.7230293073991326
53,53.70370370370371,681,558.42,1.2195121951219514,0.7383173076923077,0.724819292942568
54,54.54545454545454,978,801.9599999999999,1.2195121951219514,0.7401442307692307,0.7258509659613616
56,54.385964912280706,209,171.38,1.2195121951219512,0.7390384615384615,0.7250729399395452
59,53.333333333333336,297,243.54,1.2195121951219512,0.7362019230769231,0.7230871336575109
61,53.2258064516129,205,168.1,1.2195121951219512,0.7356730769230769,0.7231160467866999
62,53.96825396825397,591,484.61999999999995,1.2195121951219514,0.7322115384615384,0.7225942962281509
64,53.84615384615385,899,737.18,1.2195121951219512,0.7263461538461539,0.7204034695755027
65,54.54545454545454,584,478.88,1.2195121951219512,0.7302403846153847,0.7220252332763832
66,55.223880597014926,160,131.2,1.2195121951219514,0.7298557692307692,0.7219450650545407
68,55.072463768115945,913,748.66,1.2195121951219512,0.7367788461538461,0.7238415034827178
71,54.166666666666664,704,577.28,1.2195121951219512,0.7355288461538462,0.7246392430017085
72,54.794520547945204,187,153.34,1.2195121951219512,0.7336057692307693,0.72344460507294
76,53.246753246753244,740,606.8,1.2195121951219514,0.72625,0.7211722959653043
77,53.84615384615385,665,545.3,1.2195121951219514,0.7329326923076923,0.7227796031015902
79,53.75,615,504.29999999999995,1.2195121951219514,0.7310576923076924,0.7223866473912472
80,54.32098765432099,760,623.1999999999999,1.2195121951219514,0.7373076923076923,0.7242278880273361
82,54.21686746987952,235,192.7,1.2195121951219512,0.7327403846153846,0.7224471021159153
84,54.11764705882353,874,716.68,1.2195121951219514,0.7390384615384615,0.7246063871730845
88,52.80898876404494,776,636.3199999999999,1.2195121951219514,0.73375,0.7230437639637272
89,53.333333333333336,870,713.4,1.2195121951219512,0.7351923076923077,0.723771849126035
90,53.84615384615385,261,214.01999999999998,1.2195121951219514,0.7327884615384616,0.7224733867788146
91,54.347826086956516,245,200.89999999999998,1.2195121951219514,0.7362019230769231,0.7229635957418846
93,54.25531914893617,265,217.29999999999998,1.2195121951219514,0.7361538461538462,0.7232408989354712
94,54.736842105263165,944,774.0799999999999,1.2195121951219514,0.7380288461538461,0.7230871336575109
99,53.0,224,183.67999999999998,1.2195121951219514,0.7270673076923077,0.7193402549612301
100,53.46534653465347,680,557.6,1.2195121951219512,0.7289903846153846,0.7205822052832173
101,53.92156862745098,1017,833.9399999999999,1.2195121951219514,0.7329326923076923,0.7226455513208043
104,53.333333333333336,566,464.11999999999995,1.2195121951219514,0.7258653846153846,0.7211354974372454
105,53.77358490566038,683,560.06,1.2195121951219514,0.7314423076923077,0.7227441188066763
108,53.21100917431193,739,605.98,1.2195121951219512,0.7375,0.7246431857011434
110,53.153153153153156,614,503.47999999999996,1.2195121951219514,0.7329807692307693,0.7243435405440926
111,53.57142857142857,285,233.7,1.2195121951219512,0.728701923076923,0.7223813904586673
113,53.50877192982456,367,300.94,1.2195121951219512,0.7333653846153846,0.7233539229859377
114,53.91304347826087,221,181.22,1.2195121951219512,0.7322115384615384,0.7225430411354974
116,53.84615384615385,258,211.55999999999997,1.2195121951219514,0.7313461538461539,0.7214141148639769
117,54.23728813559322,1105,906.0999999999999,1.2195121951219514,0.7398557692307692,0.7244013668024708
